student_id,age,gender,admission_grade,previous_education,semester_1_gpa,semester_2_gpa,semester_3_gpa,current_gpa,failed_courses,average_grade,attendance_rate,absences_count,late_submissions,library_visits,online_portal_logins,participation_score,extracurricular_activities,scholarship_status,financial_aid,distance_from_campus,accommodation_type,actual_dropout,dropout_risk
STU000437,34.0,F,84.0157423992132,International,8.228051532808806,9.490198389326936,13.211525205654226,7.36104319663749,1,19.81883834496093,44.170599000227135,19,3,23,147,9.629369223066327,3,No,Yes,44.302554012509354,Campus,1,High
STU000385,20.0,M,75.43564561431283,International,8.528400800223581,18.363683884765088,9.518986285153307,17.48698203673174,0,19.535470029969648,48.587780864235484,23,4,1,197,4.345897343741482,2,Yes,No,28.92623524805748,Campus,0,Medium
STU000008,28.0,M,70.9797830376085,Public,19.767042739236246,16.193480738473752,17.563725154232383,16.914192676343333,1,19.91337486896908,98.6455384300028,11,6,12,163,2.2513231098667843,1,No,No,37.57258499494422,Rented,0,Low
STU000085,24.0,M,84.26334218122533,Public,8.015637109306713,13.416195767704737,14.305163884800969,17.529691862230543,0,18.54273450530161,65.33935269404842,18,0,24,44,1.8349634152562644,3,No,Yes,48.521770049018286,Home,0,Low
STU000109,,M,93.93011044191121,International,16.631332658346082,17.134808384957406,18.601105935437417,25.5,3,17.757218656017407,47.76127065010965,3,6,19,60,2.3944740316011703,4,No,Yes,0.6642574364696485,Rented,0,Medium
STU000465,24.0,M,79.56703833374397,Public,12.372502978969731,18.047111115358405,17.15989466595201,14.843533192590037,0,12.753588697612699,54.14957515066382,4,6,9,22,3.188644429629001,3,No,No,12.95885959532707,Campus,0,Medium
STU000001,25.0,F,62.286715167277805,International,10.724132096443565,9.222626094761551,14.926473533724995,7.821211674551389,0,10.887803976448389,62.57985380926117,0,2,20,194,7.20329000114408,0,Yes,Yes,32.40211968797146,Home,1,High
STU000372,,M,62.82221954994656,International,19.936689758938847,8.01688523611965,10.933217279920022,17.62326173580118,0,14.94711087902734,45.49135636219232,15,2,4,172,6.695184431196504,4,,No,4.8925486620380365,Home,0,Medium
STU000258,,M,70.48562215279978,International,14.879150643610915,9.49047838937727,9.838222609839619,15.097080027238633,0,10.262808816937993,77.65524973509142,15,8,9,73,0.9184535013263406,1,No,No,58.157333842525574,Home,0,Medium
STU000365,18.0,F,66.87222842790602,International,17.785308662161853,18.37693755414725,10.96211405628483,17.144175648662902,3,17.504654808702856,49.98488020070926,9,3,22,81,8.649348257635317,2,Yes,Yes,32.550396427135034,Home,1,High
STU000292,,F,70.6393939166071,Public,14.947916690803906,15.152443054238272,14.795447456101488,,0,14.984374047047801,54.431269867586536,22,8,14,70,0.5500611846394721,2,Yes,Yes,8.769245095733403,Campus,0,
STU000312,28.0,M,78.49914155331194,Private,14.032903491833027,14.538948236483263,9.390140456838584,15.537983222482714,0,14.70471681369933,86.99472349082183,16,8,27,157,4.605569188749081,0,Yes,Yes,6.854193938427562,Campus,0,Low
STU000285,34.0,F,67.94359304577999,International,9.325714832329501,17.68384981338344,11.406652381645106,8.708220686206426,0,17.04787715092734,95.71507209883885,6,9,4,49,0.6168828805563442,2,No,No,39.601827208829356,Rented,0,Medium
STU000208,24.0,Other,81.45321926400145,Private,14.93720473232688,17.636721123709965,16.070538736456292,12.532496633744799,0,11.14668629996912,120.0,1,2,18,30,1.6711594874062996,2,Yes,No,9.634811383089627,Home,0,Low
STU000183,22.0,Other,62.475993200161696,Public,9.22109049183766,7.898703222999758,9.127201671799584,19.295549417650616,0,18.43671069587908,78.87269892015745,14,8,26,100,4.418685499304841,4,No,Yes,38.583883290170064,Home,0,Low
STU000107,23.0,M,75.99318389212162,Public,15.883625559641231,13.845888492741418,13.36858271585865,9.832114920020581,0,11.174821813559737,50.80034817604231,22,9,28,86,1.986468293827478,1,No,Yes,40.9364625709562,Rented,1,High
STU000445,28.0,F,78.26517161324854,Public,17.207289658430255,15.414098012289523,8.961517710042939,17.475671882916252,1,18.276883739221567,88.93757120460677,12,0,16,106,1.069489561008975,3,Yes,Yes,57.07873159138079,Rented,0,Medium
STU000383,150.0,M,83.33776901027142,Private,10.654827151554947,9.793576979795631,19.31132465896691,10.194816199787347,0,15.7324509920904,65.89393400198742,14,0,6,36,9.928110665331769,3,Yes,Yes,51.45465634833372,Campus,1,Medium
STU000384,27.0,F,76.59938814616035,International,18.82652083256071,9.990025723969486,8.73881490494748,11.16073712146441,0,12.032977741153928,57.17799563959967,4,8,8,114,1.8406597130618396,4,Yes,No,2.7419841363015296,Campus,1,Medium
STU000071,-5.0,F,71.57979977616881,Private,17.04991488603859,12.106391577891223,12.771084067995469,7.9955822019016605,2,15.082403901737944,95.32475200706108,24,1,12,95,5.45503576466973,2,Yes,Yes,5.525352034685227,Rented,1,High
STU000064,25.0,M,86.70956735590023,International,9.918513084423923,17.106869541847473,17.250528786452506,8.216578933423689,0,19.19891738673599,62.37936179540188,4,9,14,183,6.145364122263548,4,Yes,Yes,53.95687851893477,Rented,1,High
STU000444,22.0,F,64.64635582391905,Public,11.72893904816721,18.747706288515676,10.668843993642936,12.188854110904629,1,15.264501884681962,95.17825143091892,19,6,5,40,4.339778980779947,0,,Yes,53.59069135677053,Home,0,Medium
STU000342,27.0,Other,83.77337762087514,Private,15.482110999524188,7.813188361123624,15.26869944318756,15.099948184544369,1,12.189506468829485,49.5197882455268,20,6,3,124,9.19787464342509,3,No,Yes,29.927738320396042,Campus,1,Medium
STU000118,20.0,M,66.43185103551093,Private,19.318826335521997,10.818685929149137,18.354916076109546,8.543546820114468,0,11.449322669798635,,13,7,18,25,4.093081843138501,1,No,Yes,45.87397369972874,Rented,0,
STU000175,28.0,Other,88.55699959672047,Public,7.081070108367336,15.133804374749971,18.379126368550928,19.652275073186896,0,17.830288653200128,44.518347663996764,7,7,3,166,7.217170443225846,3,Yes,Yes,58.254569936119644,Campus,0,Low
STU000303,18.0,,71.90902706912873,Public,15.25071612168774,16.96144036189303,13.829207294794804,12.229929119621914,1,12.580722488787229,58.01610359232501,6,9,7,185,5.262745171147282,2,Yes,Yes,44.0616685289247,Campus,1,High
STU000076,29.0,F,64.81317241848966,Private,14.815821367426391,7.404376247460947,14.940178017567485,18.317714773273686,0,14.817624272370402,87.08531376960042,18,4,9,50,5.915610662698144,1,Yes,No,12.984709731020104,Home,0,Low
STU000052,30.0,F,85.92307862856704,International,15.725780911681245,16.030251279399266,16.472650192418165,15.71619315193303,0,12.234652984045379,55.5829758126215,5,1,24,100,3.4360160248847094,1,Yes,No,14.715450248093113,Home,0,Medium
STU000467,32.0,Other,90.06419254155556,Public,16.771830212042786,19.42343411041707,7.169757326192513,19.231587966052075,0,17.691602805418952,67.28945192775403,3,5,23,137,8.99399590839792,4,Yes,No,59.82371979128627,Rented,0,Low
STU000333,33.0,M,68.83588286294534,Public,13.17769347504856,17.235012394882705,18.466815586098313,9.404907315315608,1,10.137181420893292,75.78645449793234,13,1,9,71,3.9394899918258295,0,Yes,Yes,20.490075459004533,Campus,1,High
STU000092,23.0,F,92.93215167653722,International,13.298974628043222,11.512796452088741,9.844884644506479,19.28231749225141,0,15.50718112029547,54.766068002722065,18,8,11,61,1.9681481794842026,2,No,No,29.307867928474593,Home,0,Low
